Acadept,Degname,Major,Acad Yr,Count of OSIR
PHYS,PHD,Nanoscience (PHD),2019,3
PHYS,PHD,Physics (PHD),2018,35
PHYS,PHD,Nanoscience (PHD),2018,4
PHYS,PHD,Physics (PHD),2017,33
PHYS,PHD,Nanoscience (PHD),2017,3
PHYS,PHD,Physics (PHD),2016,31
PHYS,PHD,Nanoscience (PHD),2016,4
PHYS,PHD,Physics (PHD),2015,27
PHYS,PHD,Nanoscience (PHD),2015,2
POLS,PHD,Political Science (PHD),2024,27
POLS,PHD,Political Science (PHD),2023,25
POLS,PHD,Political Science (PHD),2022,28
POLS,PHD,Political Science (PHD),2021,27
POLS,PHD,Political Science (PHD),2020,28
POLS,PHD,Political Science (PHD),2019,24
POLS,PHD,Political Science (PHD),2018,27
POLS,PHD,Political Science (PHD),2017,30
POLS,PHD,Political Science (PHD),2016,33
POLS,PHD,Political Science (PHD),2015,38
PSYC,PHD,Psychology (PHD),2024,51
PSYC,PHD,Psychology (PHD),2023,44
PSYC,PHD,Psychology (PHD),2022,55
PSYC,PHD,Psychology (PHD),2021,55
PSYC,PHD,Psychology (PHD),2020,52
PSYC,PHD,Psychology (PHD),2019,51
PSYC,PHD,Psychology (PHD),2018,39
PSYC,PHD,Psychology (PHD),2017,53
PSYC,PHD,Psychology (PHD),2016,63
PSYC,PHD,Psychology (PHD),2015,71
