"Term","Coll","Dept","Subj","CatNbr","Sec","Class Nbr","Title","Class Stat","Enrl Stat","Enrl Min","Enrl Cap","Enrl Tot","Pct Fill","Wait Cap","Wait Tot","Start Date","End Date","Cancel Date","Sch Print","Consent","Stdnt Spec"
"2258","CLAS","ECON","ECON"," 698","00P4","4314","Independent Stdy in Economics","A","O","0","20","0","","0","0","08/25/2025","12/13/2025","","Y","D","N"
"2258","CLAS","ECON","ECON"," 699","00P1","7844","Master's Research","A","O","0","30","1","0.03","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 699A","00P1","4315","Master's Thesis","X","C","0","20","0","","0","0","08/25/2025","12/13/2025","04/30/2025","Y","D","N"
"2258","CLAS","ECON","ECON"," 701","0001","7088","Labor Market Analysis II","A","O","0","10","7","0.70","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 760","0001","3432","Microeconomic Analysis II","A","O","0","10","4","0.40","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 761","0001","3413","Macroeconomic Analysis II","A","O","0","10","4","0.40","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 791","0001","7703","Computational Economics","A","O","0","30","5","0.16","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 795","0001","5103","Internship in Economics","A","O","0","10","0","","0","0","08/25/2025","12/13/2025","","Y","D","N"
"2258","CLAS","ECON","ECON"," 798","0001","4316","Current Research Colloquium","A","O","0","50","17","0.34","0","0","08/25/2025","12/13/2025","","Y","N","N"
"2258","CLAS","ECON","ECON"," 799","0001","4317","Doctoral Resch & Dissertation","A","O","0","20","7","0.35","0","0","08/25/2025","12/13/2025","","Y","D","N"
